Date,Opponent,Gift1,Gift2,Gift3,Turn2_Donation,Attendance,NYY_Runs,Opp_Runs,Jeter_AB,Jeter_H,Jeter_RBI,Jeter_Ks,URL
20140401,HOU,Stetson Hat,Cowboy Boots,Golf Clubs,0,42117,2,6,3,1,0,1,http://wapc.mlb.com/cutfour/2014/04/02/70753154/derek-jeters-first-farewell-tour-gift-cowboy-hat-boots-from-astros
20140505,NYN,Subway Tile Mosaic,Cake,NULL,22222.22,40133,1,0,4,0,0,0,http://wapc.mlb.com/cutfour/2014/05/15/75611330/mets-present-jeter-with-subway-tiled-no-2
20140508,LAA,Paddleboard,NULL,NULL,0,44083,9,2,5,2,1,1,http://wapc.mlb.com/cutfour/2014/05/08/74779158/video-derek-jeter-retirement-gift-yankees-angels-paddleboard
20140511,MIL,Bronze Bat,Stay at American Club,Golf at Whistling Straits,10000,43544,5,6,5,1,0,0,http://wapc.mlb.com/cutfour/2014/05/11/75187548/derek-jeter-adds-a-bronze-bat-to-his-collection-of-farewell-gifts
20140518,PIT,NULL,NULL,NULL,0,46858,3,5,1,1,0,0,http://mlb.mlb.com/news/article.jsp?ymd=20140517&content_id=75809608&notebook_id=75811178&vkey=notebook_pit&c_id=pit
20140520,CHN,Number 2 from Wrigley scoreboard,NULL,NULL,0,38753,1,6,4,2,0,0,http://mlb.mlb.com/news/article.jsp?ymd=20140520&content_id=76114472&notebook_id=76114490&vkey=notebook_chc&c_id=chc
20140525,CHA,Bench made of bats,Bases,NULL,5000,39142,7,1,5,4,2,1,http://mlb.mlb.com/news/article/cws/paul-konerko-helps-white-sox-pay-tribute-to-derek-jeter-with-ceremony?ymd=20140525&content_id=76780018&vkey=news_cws
20140526,STL,Stan Musial Cufflinks,NULL,NULL,10000,47311,6,4,5,1,0,1,http://mlb.mlb.com/news/article/mlb/ozzie-smith-cardinals-pay-tribute-to-derek-jeter?ymd=20140526&content_id=76889244&vkey=news_mlb
20140610,SEA,Kingdome Seat,Base,Gold Watch,5000,28405,3,2,3,2,0,0,http://mlb.mlb.com/news/article.jsp?ymd=20140610&content_id=79196412&notebook_id=79196422&vkey=notebook_sea&c_id=sea
20140615,OAK,"Abreu Madrona Ranch Cabernet, 2009 (3l)",Private tour of Abreu Vineyard,Stay at Meadowood Resort in Napa,10002,36067,5,10,3,1,1,1,http://mlb.mlb.com/news/article/nyy/as-toast-yankees-captain-derek-jeters-stellar-career-before-finale?ymd=20140615&content_id=79931408&vkey=news_nyy
20140705,MIN,Second base from final game at Metrodome,NULL,NULL,10000,31171,9,7,4,3,2,0,http://mlb.mlb.com/news/article/min/twins-send-off-derek-jeter-with-gift-from-metrodome?ymd=20140705&content_id=83182174&vkey=news_min
20140710,CLE,Lego portrait of Jeter,electric guitar,NULL,0,28334,3,9,4,2,0,2,http://mlb.mlb.com/news/article.jsp?ymd=20140710&content_id=84063260&notebook_id=84063294&vkey=notebook_cle&c_id=cle
20140719,CIN,Davey Concepcion and Barry Larkin Jerseys,NULL,NULL,0,47606,7,1,3,1,1,0,http://mlb.mlb.com/news/article/mlb/gm-walt-jocketty-todd-frazier-present-derek-jeter-gift-from-reds?ymd=20140719&content_id=85259860&vkey=news_mlb
20140730,TEX,Cowboy Boots,Autographed photo of George W. Bush,NULL,10000,46599,2,3,4,0,0,0,http://espn.go.com/new-york/mlb/story/_/id/11288723/derek-jeter-gets-visit-former-president-george-w-bush-finale-arlington?ex_cid=espnapi_public
20140825,KCA,NULL,NULL,NULL,10000,31758,8,2,5,1,2,0,http://mlb.mlb.com/news/article/mlb/royals-honor-retiring-derek-jeter-with-gift-to-foundation?ymd=20140825&content_id=91387120&vkey=news_mlb
20140827,DET,Pictures with Dirt,Tiger Stadium Seats,NULL,5000,40876,8,4,3,1,1,1,http://espn.go.com/blog/new-york/yankees/post/_/id/79409/cheers-and-chairs-for-jeter-in-detroit-tribute
20140831,TOR,Vacation Package to Western Canada,NULL,NULL,10000,45678,3,4,5,0,0,0,http://newyork.yankees.mlb.com/news/article.jsp?ymd=20140831&content_id=92359120&notebook_id=92379148&vkey=notebook_nyy&c_id=nyy
20140913,BAL,,,,,,,,,,,,
20140917,TAM,,,,,,,,,,,,
20140928,BOS,,,,,,,,,,,,
